Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_Per_HH,TOT_HH,Rounds,Scale
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020903,Praek Ropou,37,22,0.133,0.079,0.211,59,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020904,Sala Daeng,50,21,0.152,0.064,0.216,71,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020905,Samraong,15,38,0.06,0.151,0.21,53,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020906,Anlong Mean Trop,13,28,0.068,0.147,0.215,41,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020907,Chamkar Ta Daok,26,44,0.075,0.127,0.202,70,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020908,Pralay Luong Kraom,29,10,0.154,0.053,0.207,39,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020909,Luong,21,65,0.052,0.16,0.211,86,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020910,Ou Ta Kol,17,17,0.108,0.108,0.215,34,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020911,Pralay Luong Leu,6,22,0.043,0.158,0.201,28,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020912,Kouk Svay,25,56,0.069,0.156,0.225,81,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020913,Ou Ta Ma,6,12,0.066,0.132,0.198,18,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020914,Kaoh Kaev,21,71,0.048,0.163,0.211,92,2010,2
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020915,Phasi Sra,14,16,0.099,0.113,0.211,30,2010,1
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020916,Ruessei Kraom,24,144,0.03,0.18,0.21,168,2010,3
Banteay Meanchey,Mongkol Borei,Ruessei Kraok,1020917,Chumteav,17,42,0.063,0.157,0.22,59,2010,2
Banteay Meanchey,Mongkol Borei,Sambuor,1021001,Chhnaeum Meas,10,15,0.143,0.214,0.357,25,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021002,Sranal,29,30,0.124,0.129,0.253,59,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021003,La,9,8,0.12,0.107,0.227,17,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021004,Ta Meaeng Pok,10,8,0.137,0.11,0.247,18,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021005,Sambuor,42,20,0.165,0.079,0.244,62,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021006,Doun Loek,30,52,0.09,0.157,0.247,82,2010,2
Banteay Meanchey,Mongkol Borei,Sambuor,1021007,Kbal Krabei,6,5,0.25,0.208,0.458,11,2010,2
Banteay Meanchey,Mongkol Borei,Sambuor,1021008,Srah Chhuk,7,5,0.078,0.056,0.133,12,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021009,Srae Prey,8,10,0.08,0.1,0.18,18,2010,2
Banteay Meanchey,Mongkol Borei,Sambuor,1021010,Chaek Angkar,15,15,0.121,0.121,0.242,30,2010,1
Banteay Meanchey,Mongkol Borei,Sambuor,1021011,Thma Dab,25,15,0.149,0.089,0.238,40,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021101,Ta Mau,20,29,0.093,0.134,0.227,49,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021102,Ansam Chek,6,9,0.082,0.123,0.205,15,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021103,Tnaot,27,40,0.092,0.137,0.229,67,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021104,Buor,25,35,0.093,0.13,0.223,60,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021105,Bos Laok,39,59,0.092,0.139,0.231,98,2010,2
Banteay Meanchey,Mongkol Borei,Soea,1021106,Soea,25,38,0.091,0.138,0.229,63,2010,2
Banteay Meanchey,Mongkol Borei,Soea,1021107,Boeng Touch,25,37,0.092,0.137,0.229,62,2010,2
Banteay Meanchey,Mongkol Borei,Soea,1021108,Phlov Damrei Leu,24,35,0.095,0.139,0.234,59,2010,2
Banteay Meanchey,Mongkol Borei,Soea,1021109,Phlov Damrei Kraom,30,48,0.093,0.149,0.242,78,2010,2
Banteay Meanchey,Mongkol Borei,Soea,1021110,Ou Soea,11,18,0.094,0.154,0.248,29,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021111,Kouk Samraong,19,29,0.09,0.137,0.227,48,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021112,Balang Chrey,18,26,0.097,0.14,0.237,44,2010,1
Banteay Meanchey,Mongkol Borei,Soea,1021113,Ou Choub Thmey,12,18,0.092,0.138,0.231,30,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021201,Ta In Muoy,23,6,0.153,0.04,0.193,29,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021202,Ta In Pir,13,18,0.061,0.085,0.146,31,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021203,Krouch,22,17,0.21,0.162,0.371,39,2010,2
Banteay Meanchey,Mongkol Borei,Srah Reang,1021204,Chamkar Chek,12,17,0.086,0.122,0.209,29,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021205,Srah Reang,37,10,0.176,0.048,0.224,47,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021206,Ta Chan,32,14,0.227,0.099,0.326,46,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021207,Kouk Srok,11,25,0.079,0.18,0.259,36,2010,3
Banteay Meanchey,Mongkol Borei,Srah Reang,1021208,Kouk Chrab,16,26,0.118,0.191,0.309,42,2010,1
Banteay Meanchey,Mongkol Borei,Srah Reang,1021209,Kouk Krasang,7,13,0.048,0.088,0.136,20,2010,2
Banteay Meanchey,Mongkol Borei,Ta Lam,1021301,Preah Srae,35,30,0.116,0.099,0.215,65,2010,2
Banteay Meanchey,Mongkol Borei,Ta Lam,1021302,Ta Lam Kandal,18,29,0.081,0.131,0.213,47,2010,1
Banteay Meanchey,Mongkol Borei,Ta Lam,1021303,Ta Lam Chong,28,38,0.096,0.13,0.226,66,2010,2
Banteay Meanchey,Mongkol Borei,Ta Lam,1021304,Boeng Khleang Lech,29,22,0.127,0.096,0.224,51,2010,2
Banteay Meanchey,Mongkol Borei,Ta Lam,1021305,Chong Kouk,32,24,0.126,0.095,0.221,56,2010,2
Banteay Meanchey,Mongkol Borei,Ta Lam,1021306,Boeng Khleang Kaeut,19,15,0.124,0.098,0.222,34,2010,1
Banteay Meanchey,Mongkol Borei,Ta Lam,1021307,Khla Kham Chhkae,14,25,0.082,0.147,0.229,39,2010,1
Banteay Meanchey,Mongkol Borei,Ta Lam,1021308,Boeng Veaeng,17,14,0.13,0.107,0.237,31,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030101,Rongvean,40,5,0.292,0.036,0.328,45,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030102,Thmei Khang Tboung,18,27,0.129,0.194,0.324,45,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030103,Thmei Khang Cheung,36,45,0.14,0.174,0.314,81,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030104,Kouk Yeang,7,11,0.13,0.204,0.333,18,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030105,Kouk Chas,24,10,0.235,0.098,0.333,34,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030106,Chrab,15,18,0.147,0.176,0.324,33,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030107,Kantuot,15,38,0.094,0.238,0.331,53,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030108,Nam Tau,31,32,0.162,0.168,0.33,63,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030109,Pongro,11,13,0.164,0.194,0.358,24,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030110,Samraong,33,20,0.213,0.129,0.342,53,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030111,Khnang,7,24,0.074,0.253,0.326,31,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030112,Thnong Khang Tboung,22,31,0.133,0.188,0.321,53,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030113,Thnong Khang Cheung,50,35,0.192,0.135,0.327,85,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030114,Slaeng,5,21,0.062,0.259,0.321,26,2010,1
Banteay Meanchey,Phnum Srok,Nam Tau,1030115,Ta Kong,5,24,0.059,0.282,0.341,29,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030116,Yeang Otdam,24,46,0.113,0.216,0.329,70,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030117,Ampel Kaong,19,33,0.123,0.213,0.335,52,2010,2
Banteay Meanchey,Phnum Srok,Nam Tau,1030118,Kong Siem,11,24,0.102,0.222,0.324,35,2010,1
Banteay Meanchey,Phnum Srok,Paoy Char,1030201,Paoy Snuol,24,49,0.059,0.12,0.179,73,2010,2
Banteay Meanchey,Phnum Srok,Paoy Char,1030202,Paoy Char,15,33,0.057,0.126,0.183,48,2010,1
Banteay Meanchey,Phnum Srok,Paoy Char,1030203,Trapeang Thma Tboung,25,31,0.085,0.106,0.191,56,2010,2
Banteay Meanchey,Phnum Srok,Paoy Char,1030204,Trapeang Thma Cheung,8,15,0.056,0.106,0.162,23,2010,1
Banteay Meanchey,Phnum Srok,Paoy Char,1030205,Trapeang Thma Kandal,11,24,0.059,0.13,0.189,35,2010,1
Banteay Meanchey,Phnum Srok,Paoy Char,1030206,Paoy Ta Ong,40,79,0.176,0.348,0.524,119,2010,2
Banteay Meanchey,Phnum Srok,Paoy Char,1030207,Sambuor,19,31,0.162,0.265,0.427,50,2010,1
Banteay Meanchey,Phnum Srok,Paoy Char,1030208,Pongro,51,103,0.16,0.323,0.483,154,2010,1
Banteay Meanchey,Phnum Srok,Ponley,1030301,Ta Vong,12,54,0.02,0.091,0.111,66,2010,2
Banteay Meanchey,Phnum Srok,Ponley,1030302,Ponley,67,114,0.092,0.157,0.249,181,2010,2
Banteay Meanchey,Phnum Srok,Ponley,1030303,Svay Sa,45,88,0.079,0.155,0.234,133,2010,2
Banteay Meanchey,Phnum Srok,Ponley,1030304,Svay Khmau,21,41,0.071,0.139,0.21,62,2010,2
Banteay Meanchey,Phnum Srok,Ponley,1030305,Kouk Ta Sokh,12,23,0.048,0.092,0.141,35,2010,1
Banteay Meanchey,Phnum Srok,Ponley,1030306,Pou Roam Bon,23,47,0.067,0.137,0.203,70,2010,2
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030401,Rouk,46,62,0.174,0.234,0.408,108,2010,2
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030402,Mukh Chhneang,31,21,0.298,0.202,0.5,52,2010,2
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030403,Spean,36,21,0.346,0.202,0.548,57,2010,2
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030404,Kouk Char,29,26,0.223,0.2,0.423,55,2010,1
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030405,Kandaol,31,10,0.356,0.115,0.471,41,2010,2
Banteay Meanchey,Phnum Srok,Spean Sraeng,1030406,Pongro,23,31,0.177,0.238,0.415,54,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030501,Moat Srah,24,41,0.114,0.194,0.308,65,2010,2
Banteay Meanchey,Phnum Srok,Srah Chik,1030502,Srah Chhuk Khang Lech,18,32,0.115,0.204,0.318,50,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030503,Srah Chik,20,28,0.091,0.128,0.219,48,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030504,Kouk Kraol,31,36,0.25,0.29,0.54,67,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030505,Kouk Rumchek,36,26,0.275,0.198,0.473,62,2010,2
Banteay Meanchey,Phnum Srok,Srah Chik,1030506,Kouk Ta Reach,17,22,0.159,0.206,0.364,39,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030507,Kandal Khang Lech,18,21,0.095,0.111,0.205,39,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030508,Kandal Khang Kaeut,8,3,0.076,0.029,0.105,11,2010,1
Banteay Meanchey,Phnum Srok,Srah Chik,1030509,Srah Chhuk Khang Kaeut,15,18,0.064,0.077,0.141,33,2010,1
Banteay Meanchey,Phnum Srok,Phnum Dei,1030601,Phnum Dei,17,14,0.304,0.25,0.554,31,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030602,Ponley,30,52,0.083,0.143,0.226,82,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030603,Kouk Seh,35,23,0.24,0.158,0.397,58,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030604,Thnal Dach,18,26,0.148,0.213,0.361,44,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030605,Bos Sbov,20,25,0.108,0.134,0.242,45,2010,1
Banteay Meanchey,Phnum Srok,Phnum Dei,1030606,Trapeang Prei,17,13,0.155,0.118,0.273,30,2010,1
Banteay Meanchey,Phnum Srok,Phnum Dei,1030607,Kamping Puoy,21,57,0.042,0.114,0.156,78,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030608,Spean Kmeng,29,65,0.135,0.302,0.437,94,2010,2
Banteay Meanchey,Phnum Srok,Phnum Dei,1030609,Trang,9,27,0.056,0.168,0.224,36,2010,1
Banteay Meanchey,Phnum Srok,Phnum Dei,1030610,Khchay,16,31,0.421053,0.815789,1.236842,47,2010,1
Banteay Meanchey,Preah Netr Preah,Chhnuor Mean Chey,1040101,Samraong Touch,9,19,0.114,0.241,0.354,28,2010,1
Banteay Meanchey,Preah Netr Preah,Chhnuor Mean Chey,1040102,Kouk Pongro,2,10,0.054,0.27,0.324,12,2010,1
Banteay Meanchey,Preah Netr Preah,Chhnuor Mean Chey,1040103,Thma Koul,10,31,0.085,0.265,0.35,41,2010,1
