NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,TT_Family,Commune_S,Corn_Ha,Corn_Yield,Cass_Ha,Cass_Yield,Cash_Ha,Cash_Yield,Mang_Ha,Mang_Yield,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff,RLUn_1Ha_N,RLUn_1Ha_P,Per_HH_El,Fami_Impro,Fami_Unim,RatImpLatH,RiField_Ha,Ratio
2,203,20302,Preaek Preah Sdach,2527,294.4528,0,0,0,0,0,0,0,0,40,132,364,1434,11,98,15,45,0,0,3.3,4.0853,3,0,2,0.0791,92.53402,2115,227,83.696082,0,0
2,203,20303,Rotanak,2801,507,0,0,0,0,0,0,0,0,172,234,516,1294,16,104,43,127,0,0,1.3605,2.6278,2.9535,0,122,4.3556,97.421794,1787,659,63.798643,180,35.5
2,203,20304,Chamkar Samraong,3249,1041.19,0,0,0,0,0,0,0,0,125,451,568,2192,39,1142,51,222,0,0,3.608,5.4926,4.3529,0,448,13.7889,88.497882,2649,158,81.532779,670,64.35
2,203,20305,Sla Kaet,1373,45977,0,0,0,0,0,0,0,0,2,21,7,450,5,270,19,51,0,0,10.5,60,2.6842,0,25,1.8208,85.830861,895,132,65.185725,27900,60.68
2,203,20306,Kdol Doun Teav,1874,959.63,0,0,0,0,0,0,0,0,27,151,590,4018,21,315,87,181,0,0,5.5926,7.0917,2.0805,0,289,15.4216,91.28234,1122,372,59.871932,655.8,68.34
2,203,20307,Ou Mal,2270,3820.68,0,0,0,0,0,0,0,0,117,695,1396,6181,178,16266,483,1015,9,24,5.9402,14.2611,2.1014,2.6667,397,17.489,69.567081,1542,0,67.929515,3038.13,79.52
2,203,20308,Voat Kor,2782,3119.59,0,0,0,0,0,0,0,0,116,2092,1623,31287,36,16444,542,1686,0,0,18.0345,28.7709,3.1107,0,1563,56.1826,86.655113,1979,295,71.135873,1060,33.98
2,203,20309,Ou Char,2890,1096.71,0,0,0,0,0,0,0,0,34,148,1007,3429,339,2780,47,155,0,0,4.3529,4.6129,3.2979,0,439,15.1903,82.013889,1961,403,67.854671,450,41.03
2,203,20310,Svay Pao,3262,200,0,0,0,0,0,0,0,0,0,0,1,25,0,0,1,3,0,0,0,25,3,0,0,0,94.91018,2928,51,89.760883,0,0
2,204,20401,Bavel,5575,5900,0,0,0,0,0,0,0,0,2254,6408,3936,11938,336,1638,2945,8065,0,0,2.8429,3.1779,2.7385,0,928,16.6457,50.053821,2854,204,51.192825,3615,61.27
2,204,20402,Khnach Romeas,2306,8600,0,0,0,0,0,0,0,0,638,1923,1416,4248,167,835,715,2145,0,0,3.0141,3.211,3,0,414,17.9532,40.676496,1218,51,52.818734,5700,66.28
2,204,20403,Lvea,2563,11500,0,0,0,0,0,0,0,0,490,1514,1182,3770,177,885,548,1996,0,0,3.0898,3.4253,3.6423,0,450,17.5575,15.021459,763,89,29.769801,7540,65.57
2,204,20404,Prey Khpos,2465,13800,0,0,0,0,0,0,0,0,1005,3231,2010,6286,194,970,1070,3081,0,0,3.2149,3.2922,2.8794,0,428,17.3631,0,791,112,32.089249,6152,44.58
2,204,20405,Ampil Pram Daeum,2318,16700,0,0,0,0,0,0,0,0,569,1707,1572,4716,219,1095,854,2562,0,0,3,3.2446,3,0,423,18.2485,0,625,42,26.962899,7300,43.71
2,204,20406,Kdol Ta Haen,2192,35800,115,3,119,3,0,0,95,3,550,1978,1703,5109,193,967,927,3112,0,0,3.5964,3.2046,3.3571,0,317,14.4617,0,773,72,35.264599,13172,36.79
2,205,20501,Preaek Norint,3126,10777,35,4,0,0,0,0,0,0,114,394,1880,4858,40,264,474,866,0,0,3.4561,2.6677,1.827,0,1637,52.3672,59.424171,892,689,28.534869,2250,20.88
2,205,20502,Samraong Knong,2968,2384,7,7,0,0,0,0,63,43,63,245,1421,4047,58,4525,425,1052,4,15,3.8889,5.7958,2.4753,3.75,1615,54.4137,88.414858,2074,250,69.878706,1468,61.58
2,205,20503,Preaek Khpob,2025,2784,29,2,0,0,0,0,0,0,30,247,580,5100,24,4395,159,605,0,0,8.2333,15.7202,3.805,0,983,48.5432,52.383317,796,174,39.308642,1977,71.01
