Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Stueng Kaev,1053,420,1.5,0,0,690,1,8,3
Kampong Krasang,6700,0,0,0,0,0,0,0,0
Baniev,1499,0,0,0,0,0,0,0,0
Tani,2008,30,2.4,30,7.5,0,0,0,0
Doun Yay,1413,3,1.5,10,3,0,0,0,0
Trapeang Bei,3500,35,1,0,0,0,0,0,0
Prey Thnang,7631,2,2.5,66,3,2,0.96,768,0.98
Angk  Romeas,1847.18,7.8,1.4,9.4,1.8,0,0,0,0
L'ang,2003.47,97,3,63,3.2,0,0,0,0
Pech Sar,5741,0,0,0,0,0,0,0,0
Prey Khla,7514,0,0,0,0,0,0,0,0
Kaoh Rung,102000,0,0,8,20,0,0,4,2.5
Angk Prasat,5479,0,0,0,0,0,0,0,0
Kouk Prech,8015,9.5,1.5,0,0,0,0,0,0
Voat Angk Khang Cheung,882,15,2,5,4,0,0,0,0
Phnum Kong,2529.84,0,0,0,0,0,0,0,0
Damnak Sokram,1504.41,0,0,0,0,3,0,0,0
Totung,1544.49,0,0,0,0,0,0,0,0
Mean Ritth,3768,6,4.5,0,0,0,0,0,0
Samraong Leu,1284.65,24,1,0,0,0,1.5,7,1.5
Samraong Kraom,1409.69,0,0,0,0,0,0,0,0
Daeum Doung,1222,0,0,0,0,0,0,0,0
Trapeang Sala Khang Kaeut,1334,11,3,5,3,0,0,0,0
Tumnob Rolok,5232,0,0,400,20,0,0,9,0
Kampenh,611,0,0,0,0,0,0,0,0
Tuek L'ak,1906,4,4,2,20,0,0,0,0
Krapum Chhuk,7280,0,0,0,0,0,0,0,0
Makprang,4200,3,3,9,5,0,0,10,6
Mroum,1625.66,0,0,0,0,0,0,0,0
Samrong,6184,0,0,0,0,0,0,25,2
Voat Angk Khang Tboung,836,4,1.5,1,1.5,0,0,15,2
Ou Treh,7666.33,0,0,0,0,0,0,0,0
Veal Renh,1657,0,0,0,0,0,0,0,0
Chey Chouk,3600,0,0,0,0,0,0,0,0
Dang Tong,2050,0,0,0,0,0,0,0,0
Trapeang Sala Khang Lech,1129,0,0,0,0,0,0,0,0
Ream Andaeuk,4050,5,1.5,6,2,5,1.5,14,3
Prey Yuthka,4349,0,0,0,0,0,0,0,0
Prey Khmum,2000,0,0,0,0,10,0,5,20
Tuek Thla,7181.26,4.5,2,0,0,0,0,0,0
Kandaol,7700,25,2,0,0,0,0,0,0
Srae Chea Khang Cheung,3782,1010,2.5,40,3,0,1.2,50,10
Muoy,4552.39,0,0,0,0,0,0,0,0
Tuk Meas Khang Lech,2366,0,0,0,0,0,0,0,0
Srae Chea Khang Tboung,2043,10,1.5,0,0,5,0,0,0
Kampong Kraeng,1730,0,0,0,0,0,0,12,1.5
Andoung Thma,5050,0,0,0,0,0,0,0,0
Banteay Meas Khang Kaeut,2750,3,1,0,0,0,0,0,0
Preaek Tnoat,5997,5,1.5,0,0,0,1,0,0
Kampeaeng,5570,65,0.7,115,1.5,0,1.6,35,2.5
Kamnab,3400,0,0,0,0,0,0,0,0
Banteay Meas Khang lech,2400,0,0,0,0,0,0,0,0
Tuk Meas Khang Kaeut,1786.35,0,0,0,0,0,0,0,0
Preah Bat Choan Chum,5400,0,0,5,3,0,0,36,1
Bet Trang,7641,0,0,0,0,0,0,0,0
Sdach Kong Khang lech,1857.63,0,0,0,0,0,0,0,0
Khcheay Khang Cheung,931,15,2,1,4,0,0,0,0
Prey Ampok,12616,12,6,27,12,0,2,13,8
Ream,13200,0,0,5,20,0,0,5,7
Tuol Totueng,5201,0,0,0,0,0,0,0,0
Prey Rumdeng,8400,21,1,11,1.5,18,2,4,3
Bei,1323,0,0,0,0,0,0,0,0
Kampong Samraong,683.8,0,0,0,0,0,0,0,0
Khcheay Khang Tboung,1148.84,14,3,0,0,0,0,0,0
Trapeang Pring,3600,0,0,20,30,0,0,300,5
Kaoh Touch,731.35,1,2,0,0,0,3,0,0
Andoung Khmer,1510,0,0,0,0,0,0,0,0
Prey Nob,3830.389,0,0,0,0,2,0,25,4
Kiri Chong Kaoh,2879,4.5,0.45,20,18,11,0,4.5,24
Pir,237,0,0,0,0,0,0,0,0
Trapeang Thum,244.45,0,0,0,0,0,0,0,0
Buon,2444,8,0.4,0,0,0,0,0,0
Boeng Tuk,3355,2,2,0,0,0,0,2.5,6.25
Damnak Kantuot Khang Cheung,1369.8,0,0,0,0,0,0,0,0
Kampong Trach Khang Lech,4050,0,0,2,2,0,0,0,0
Damnak Kantuot Khang Tboung,6100,5,2,70,2,0,0,0,0
Krang Ampil,220,0,0,0,0,0,0,0,0
Kampong Bay,142,0,0,0,0,0,0,0,0
Koun Satv,7549,70,5,50,5,8,0,30,2
Ou Oknha Heng,6537,3,2,10,20,0,1,4.5,7.5
Prasat Phnom Khyang•À_,700,3,0.6,0,0,0,0,0,0
Phnum Den,1922,0,0,0,0,0,0,0,0
Sdach Kong Khang Cheung,2190,0,0,0,0,6,0,0,0
Chum Kriel,2060,0,0,0,0,0,0,0,0
Tnoat Chong Srang,5060,0,0,0,0,0,0,0,0
Trapeang Sangkae,1037.2,60,1,0,0,0,0,0,0
Kampong Kandal,170,0,0,0,0,0,0,0,0
Traeuy Kaoh,1899.5,0,0,0,0,0,0,0,0
Boeng Ta Prum,3260.24,1.5,3,0,0,0,0,1,2.5
Saom,6616,102,1.75,61,7.5,6,1,9,9
Pong Tuek,12900,155,4,33,2,0,6,130,11
Ang Sophy,1757,0,0,0,0,0,0,0,0
Sdach Kong Khang Tboung,1857.08,0,0,0,0,0,0,0,0
Ou Krasar,780.5,26,20,1,1.5,0,0,0,0
Ta Ou,4780,13,1,14,25,12,0,0,0
Prey Tonle,4099,0,0,0,0,0,0,0,0
Phnom Prasat,12122,0,0,0,0,0,0,0,0
Prey Thum,5045,7,1.5,8,2,0,0,3,2
Kampong Trach Khang Kaeut,767.67,0,0,2,2.1,0,0,0,0
Ou Chrov,9674,3,1,0,0,0,0,0,0
Preaek Kroes,3200.94,0,0,0,0,0,0,0,0
Boeng Sala Khang Cheung,1646.24,0,0,0,0,0,0,0,0
Kaeb,2350,3,2.5,0,0,20,0,0,0
Svay Tong Khang Cheung,1292.29,7,1,2,1.5,0,0,0,0
Angkaol,2555.08,3.5,0.9,0,0,150,0,0,0
Boeng Sala Khang Tboung,4600,0,0,0,0,0,0,0,0
Ruessei Srok Khang Kaeut,2244,6.2,3.65,0,0,0,0,0,0
Ruessei Srok Khang Lech,2985.97,0,0,0,0,0,0,0,0
Svay Tong Khang Tboung,1237.5,5,1,0,0,0,0,0,0
Samlout,1625,250,6,15,40,0,0,0,0
Trapeang Krasang,518,0,0,0,0,0,0,1,5
Samraong Kraom,973,0,0,0,0,0,0,0,0
Kakab,565,0,0,0,0,0,0,0,0
Tuek Thla,780.48,0,0,0,0,0,0,0,0
Stueng Mean chey,855,0,0,0,0,0,0,0,0
Prey Sa,919.26,0,0,0,0,0,0,0,0
Trapeang Kranhoung,12981,0,0,500,20,250,0,20,6
Chrey Seima,6354,511,5.6,1761,22,0,0,0,0
Ou Rumduol,13018,1200,7,1418,90,0,0,0,0
Angkor Ban,790,253,3,534,4,0,0,0,0
Sampov Lun,2600,562,3.2,1430,4,0,0,0,0
Ta Sda,3874,440,4,2968,24,0,0,3,0
Santepheap,4100,349,4.8,2537,24,0,0,0,0
Serei Mean Chey,8452,339,4,2718,31,0,0,18,0
Bour,6352,1830,6,1700,5,0,0,0,0
Barang Thleak,7200,1550,13,1992,12,0,0,0,0
Phnum Proek,11400,912,5,4256,5,0,0,15,7
Pech Chenda,10765,4567,4.2,3789,27.7,0,0,10,20
Srae Sdok,6357,0,0,0,0,0,0,0,0
Siem Reab,3283,5.5,2.3,0,0,0,0,0,0
Chong Knies,7338,0,0,0,0,0,0,0,0
Kampong Luong,4200,0,0,0,0,0,0,0,0
Reang Til,240,0,0,0,0,0,0,0,0
Sya,3845,0,0,0,0,0,0,0,0
Chaom Chau,2272.72,0,0,0,0,0,0,0,0
Kantaok,922,0,0,0,0,0,0,0,0
Kamboul,1774,0,0,0,0,0,0,0,0
