Commune,LSize_Ha,Corn_Ha,Corn_Yield,Cassava_Ha,CassaYield,Cashew_Ha,CasheYield,Mango_Ha,MangoYield
Preaek Luong,5884,35,2,0,0,0,0,0,0
Dan Run,5600,10,0.4,0,0,0,0,0,0
Kien Sangkae,5300,15,2,10,4,0,0,0,0
Ta Pon,12630,0,0,0,0,0,0,0,0
Kouk Thlok Kraom,6788,0,0,0,0,0,0,0,0
Kdol Ta Haen,35800,115,3,119,3,0,0,95,3
Sandan,28850,6,1,2,4,623,0,0,0
Boeng Char,106870,1250,3.5,32,4,150,0,0,0
Ou Ta Ki,7431.69,0,0,0,0,0,0,0,0
Ta Saen,5750,850,5.5,2650,15,0,0,0,0
Ta Krei,3276,2831,4,784,10,0,0,0,0
Pongro Kraom,11680,0,0,97,10,0,0,0,0
Kraya,17428,15,1.5,150,3,15,3.5,0,0
Ngan,20600,0,0,1246,8,468,0.5,0,0
Anlong Run,8200,0,0,3,1,0,0,0,0
Preaek Khpob,2784,29,2,0,0,0,0,0,0
Trang,5736,980,1.2,2150,20,0,0,0,0
Kampong Kdei,2800,0,0,0,0,0,0,0,0
Kampong Khleang,20973,65,0.75,0,0,0,0,0,0
Kdol Doun Teav,959.63,0,0,0,0,0,0,0,0
Roka,3010,0,0,0,0,0,0,0,0
Ou Da,13286,461,7,2543,40,0,0,10,5
Samraong Knong,2384,7,7,0,0,0,0,63,43
Srae Huy,57650,15,2,35,18,0,0,0,0
Chrey,4920,0,0,0,0,0,0,0,0
Boeng Reang,3702,367,5,1568,24,0,0,0,0
Sla Kaet,45977,0,0,0,0,0,0,0,0
Lveaeng Ruessei,10967,0,0,0,0,0,0,0,0
Ta Kream,21955,25,0.7,150,7,0,0,0,0
Kampong Preah,12602,5,1,1.5,2,0,0,0,0
Chamkar Samraong,1041.19,0,0,0,0,0,0,0,0
Mean Chey,4540.2,15,7,35,25,150,2,0.5,0
Pralay,35000,12,1,119,3,360,1,21,1
Norea,516,0,0,0,0,0,0,0,0
Stueng Trang,18413,8000,3.5,7030,25,0,0,0,0
