Province,District,Com_Code,Commune,TOTPOP,URBAN04,U_Den08,URB_RC2011,URB_RCSDC,U_Reclass,Male11,Female11,Family11,Den_2011,TOPOP11,TOT_Area_C,DENSITY
Phnom Penh,Saensokh,120805,Preaek Phnov,12743,U,1809.1,U0411,U0411,1,5896,6265,2557,18.588548,12161,654.22,1809.1
Phnom Penh,Russey Keo,120708,Preaek Lieb,14814,U,1063.8,U0411,U0411,1,7493,9045,3192,11.040053,16538,1498,1063.8
Phnom Penh,Saensokh,120804,Ponhea Pon,6753,NU,357.8,0,USDC,1,3241,3439,1406,3.425465,6680,1950.1,357.8
Phnom Penh,Russey Keo,120709,Preaek Ta Sek,5499,NU,371.4,0,USDC,1,3356,3686,1277,4.171504,7042,1688.12,371.4
Phnom Penh,Pur SenChey,120902,Kouk Roka,10833,NU,332.3,0,USDC,1,5366,5411,2506,3.304814,10777,3261,332.3
Phnom Penh,Russey Keo,120703,Svay Pak,16446,U,4466.2,U0411,U0411,1,5915,6907,2465,31.273171,12822,410,4466.2
Koh Kong,Khemara Phoumin,90401,Smach Mean Chey,10581,U,184.7,U0411,U0411,1,4643,4750,2013,1.63408,9393,5748.19,184.7
Phnom Penh,Pur SenChey,120912,Ponsang,9192,NU,242.1,0,USDC,1,4807,5039,2051,2.666703,9846,3692.2,242.1
Kandal,Khsach Kandal,80305,Kaoh Oknha Tei,5023,NU,877.1,U11,U11,1,2734,2951,1318,8.384956,5685,678,877.1
Phnom Penh,Saensokh,120803,Khmuonh,20327,U,1023.6,U0411,U0411,1,9767,9454,3827,10.311695,19221,1864,1023.6
Kandal,Khsach Kandal,80308,Preaek Luong,4922,NU,344.5,U11,U11,1,2487,2697,1288,7.359455,5184,704.4,344.5
Phnom Penh,Russey Keo,120711,Chrang Chamreh Ti Muoy,9948,U,4327.1,U0411,U0411,1,4735,5081,1814,46.707271,9816,210.16,4327.1
Phnom Penh,Russey Keo,120712,Chrang Chamreh Ti Pir,14282,U,3449.3,U0411,U0411,1,5992,6717,2493,43.763774,12709,290.4,3449.3
Phnom Penh,Russey Keo,120704,Kilomaetr Lekh Prammuoy,17266,U,3060.9,U0411,U0411,1,7676,8585,3330,38.351415,16261,424,3060.9
Phnom Penh,Pur SenChey,120907,Krang Thnong,4957,NU,758.1,U11,U11,1,2657,2832,1043,4.512125,5489,1216.5,758.1
Phnom Penh,Russey Keo,120706,Ruessei Kaev,24960,U,4822.3,U0411,U0411,1,12614,14509,5303,78.933124,27123,343.62,4822.3
Koh Kong,Khemara Phoumin,90402,Dang Tong,12796,U,6364.6,U0411,U0411,1,6324,6159,2432,4.066124,12483,3070,6364.6
Koh Kong,Khemara Phoumin,90403,Stueng Veaeng,2580,NU,62.8,0,USDC,1,1314,1229,549,0.063551,2543,40014.9,62.8
Phnom Penh,Russey Keo,120710,Chrouy Changvar,19512,U,2027.6,U0411,U0411,1,10404,10515,3433,20.198519,20919,1035.67,2027.6
Phnom Penh,Pur SenChey,120913,Snaor,5297,NU,367.5,0,USDC,1,2432,2651,983,3.710219,5083,1370,367.5
Phnom Penh,Dangkao,120501,Dangkao,16302,U,1141.3,U0411,U0411,1,8301,8488,3716,19.751765,16789,850,1141.3
Phnom Penh,Saensokh,120801,Phnom Penh Thmei,38657,U,1880.1,U0411,U0411,1,15279,16798,6135,22.258228,32077,1441.13,1880.1
Phnom Penh,Russey Keo,120702,Tuol Sangkae,52568,U,19060.3,U0411,U0411,1,24313,28985,11755,83.894223,53298,635.3,19060.3
Phnom Penh,Pur SenChey,120911,Ovlaok,3746,NU,241.8,0,USDC,1,2043,2135,800,2.625312,4178,1591.43,241.8
Phnom Penh,Tuol Kouk,120407,Boeng Kak Ti Muoy,15147,U,9516.8,U0411,U0411,1,6589,6491,2354,0,13080,0,9516.8
Phnom Penh,Doun Penh,120210,Srah Chak,39491,U,12521.8,U0411,U0411,1,10122,10602,4317,64.661466,20724,320.5,12521.8
Phnom Penh,Tuol Kouk,120408,Boeng Kak Ti Pir,29171,U,17355.8,U0411,U0411,1,10852,10915,4120,123.823881,21767,175.79,17355.8
Phnom Penh,Doun Penh,120211,Voat Phnum,9263,U,14378,U0411,U0411,1,2774,3029,1034,85.375901,5803,67.97,14378
Phnom Penh,Doun Penh,120205,Phsar Kandal Ti Muoy,9427,U,23068,U0411,U0411,1,3443,3844,1403,252.232606,7287,28.89,23068
Phnom Penh,Doun Penh,120209,Phsar Chas,7023,U,69843.1,U0411,U0411,1,3268,3263,1292,859.342105,6531,7.6,69843.1
Phnom Penh,Tuol Kouk,120401,Phsar Depou Ti Muoy,10659,U,32866.7,U0411,U0411,1,4139,4090,1547,278.949153,8229,29.5,32866.7
Phnom Penh,Doun Penh,120201,Phsar Thmei Ti Muoy,6411,U,38816,U0411,U0411,1,2560,2601,956,477.87037,5161,10.8,38816
Phnom Penh,Tuol Kouk,120404,Tuek L'ak Ti Muoy,13493,U,14858.3,U0411,U0411,1,5713,5461,2266,0,11174,0,14858.3
Phnom Penh,Doun Penh,120202,Phsar Thmei Ti Pir,7387,U,69240.6,U0411,U0411,1,2709,3103,1100,557.773512,5812,10.42,69240.6
Phnom Penh,Prampir Meakkakra,120305,Monourom,11227,U,80967.3,U0411,U0411,1,615,622,311,89.056875,1237,13.89,80967.3
Phnom Penh,Prampir Meakkakra,120306,Mittakpheap,10268,U,26564.9,U0411,U0411,1,4380,4559,1716,234.619423,8939,38.1,26564.9
Phnom Penh,Doun Penh,120206,Phsar Kandal Ti Pir,7334,U,49754.1,U0411,U0411,1,3172,3542,1230,895.2,6714,7.5,49754.1
Phnom Penh,Doun Penh,120203,Phsar Thmei Ti Bei,10320,U,32854.6,U0411,U0411,1,3729,3870,1499,229.438406,7599,33.12,32854.6
Phnom Penh,Prampir Meakkakra,120307,Veal Vong,25489,U,26291.3,U0411,U0411,1,6742,7015,3001,121.743363,13757,113,26291.3
Phnom Penh,Tuol Kouk,120402,Phsar Depou Ti Pir,11008,U,53699.9,U0411,U0411,1,4200,4642,1616,465.368421,8842,19,53699.9
Phnom Penh,Prampir Meakkakra,120304,Ou Ruessei Ti Buon,9418,U,113719.9,U0411,U0411,1,3138,3357,1199,889.726027,6495,7.3,113719.9
Phnom Penh,Doun Penh,120208,Chey Chummeah,12372,U,16977.4,U0411,U0411,1,4052,4294,1556,115.916667,8346,72,16977.4
Phnom Penh,Doun Penh,120204,Boeng Reang,7210,U,17345.7,U0411,U0411,1,5594,5688,2458,2820.5,11282,4,17345.7
Phnom Penh,Prampir Meakkakra,120303,Ou Ruessei Ti Bei,7673,U,157127.4,U0411,U0411,1,2739,3022,1277,960.166667,5761,6,157127.4
Phnom Penh,Tuol Kouk,120405,Tuek L'ak Ti Pir,13122,U,30886.8,U0411,U0411,1,4746,5279,1896,237.165839,10025,42.27,30886.8
Phnom Penh,Prampir Meakkakra,120301,Ou Ruessei Ti Muoy,8133,U,95582.8,U0411,U0411,1,3712,4131,1521,0.905031,7843,8666,95582.8
Phnom Penh,Tuol Kouk,120403,Phsar Depou Ti Bei,8254,U,26957.3,U0411,U0411,1,3133,3557,1395,249.254844,6690,26.84,26957.3
Phnom Penh,Prampir Meakkakra,120302,Ou Ruessei Ti Pir,9518,U,109201.5,U0411,U0411,1,3937,4189,1685,0.089036,8126,91266,109201.5
Phnom Penh,Tuol Kouk,120406,Tuek L'ak Ti Bei,25869,U,22093.8,U0411,U0411,1,10868,11244,4513,0,22112,0,22093.8
Phnom Penh,Prampir Meakkakra,120308,Boeng Prolit,10169,U,25365.2,U0411,U0411,1,4487,4655,1571,324.184397,9142,28.2,25365.2
Phnom Penh,Doun Penh,120207,Chakto Mukh,10312,U,6886.5,U0411,U0411,1,3125,3638,1277,67.567163,6763,100.093,6886.5
Phnom Penh,Tuol Kouk,120409,Phsar Daeum Kor,14542,U,31065.2,U0411,U0411,1,6014,5971,2307,179.739052,11985,66.68,31065.2
Phnom Penh,Tuol Kouk,120410,Boeng Salang,29935,U,33739.4,U0411,U0411,1,11462,12431,4295,204.563356,23893,116.8,33739.4
Phnom Penh,Chamkar Mon,120107,Tuol Svay Prey Ti Pir,10717,U,30591.4,U0411,U0411,1,4361,4577,1525,182.408163,8938,49,30591.4
Phnom Penh,Chamkar Mon,120101,Tonle Basak,30234,U,6499.1,U0411,U0411,1,10264,10712,4565,53.454295,20976,392.41,6499.1
