NCDD_Code,NCDD_CodeD,Acronym_D,Acronym_C,NCDD_CodeC,Com_Code,OCSCode,Commune,Per_HH_El
17,1711,D,C,171105,171105,171105,Kien Sangkae,8.835759
2,208,D,C,20803,20803,20803,Ta Pon,13.567032
17,1704,D,C,170405,170405,170405,Kouk Thlok Kraom,20.070671
2,204,D,C,20406,20406,20406,Kdol Ta Haen,0
6,606,D,C,60607,60607,60607,Sandan,28.439306
10,1004,D,C,100401,100401,100401,Boeng Char,5.432937
2,202,D,C,20203,20203,20203,Ou Ta Ki,54.441118
2,212,D,C,21205,21205,21205,Ta Saen,56.768559
2,212,D,C,21206,21206,21206,Ta Krei,8.588469
17,1704,D,C,170408,170408,170408,Pongro Kraom,0
6,604,D,C,60402,60402,60402,Kraya,1.310616
6,606,D,C,60606,60606,60606,Ngan,1.664612
2,202,D,C,20205,20205,20205,Anlong Run,11.013216
2,205,D,C,20503,20503,20503,Preaek Khpob,52.383317
2,212,D,C,21204,21204,21204,Trang,47.336293
17,1704,D,C,170403,170403,170403,Kampong Kdei,43.437205
17,1711,D,C,171104,171104,171104,Kampong Khleang,40.752158
2,203,M,S,20306,20306,20306,Kdol Doun Teav,91.28234
2,208,D,C,20804,20804,20804,Roka,71.661721
2,212,D,C,21203,21203,21203,Ou Da,26.975833
2,205,D,C,20502,20502,20502,Samraong Knong,88.414858
11,1102,D,C,110205,110205,110205,Srae Huy,0
2,202,D,C,20204,20204,20204,Chrey,57.572221
2,212,D,C,21202,21202,21202,Boeng Reang,89.935846
2,203,M,S,20305,20305,20305,Sla Kaet,85.830861
17,1704,D,C,170407,170407,170407,Lveaeng Ruessei,7.237872
2,201,D,C,20108,20108,20108,Ta Kream,29.290292
2,208,D,C,20805,20805,20805,Kampong Preah,35.294118
2,203,M,S,20304,20304,20304,Chamkar Samraong,88.497882
6,606,D,C,60605,60605,60605,Mean Chey,0
6,608,D,C,60809,60809,60809,Pralay,12.121212
2,208,D,C,20802,20802,20802,Norea,77.670753
24,2402,D,C,240202,240202,240202,Stueng Trang,9.43098
2,203,M,S,20309,20309,20309,Ou Char,82.013889
2,203,M,S,20303,20303,20303,Rotanak,97.421794
6,604,D,C,60405,60405,60405,Sala Visai,4.81523
17,1704,D,C,170412,170412,170412,Spean Tnaot,7.179972
2,207,D,C,20701,20701,20701,Sdau,39.186851
6,608,D,C,60813,60813,60813,Trea,8.26737
6,604,D,C,60403,60403,60403,Phan Nheum,0.08658
17,1704,D,C,170402,170402,170402,Chi Kraeng,13.963964
6,604,D,C,60407,60407,60407,Tuol Kreul,0
2,203,M,S,20310,20310,20310,Svay Pao,94.91018
