Com_Code,Commune,TT_Family,RLUn_1Ha_N,RLUn_1Ha_P
60603,Klaeng,876,494,56.3927
20606,Ta Loas,2075,309,14.8916
60501,Chhuk,2343,1428,60.9475
60810,Preah Damrei,1518,758,49.9341
60202,Damrei Slab,861,163,18.9315
20608,Prey Touch,2212,142,6.4195
100404,Kaoh Khnhaer,959,208,21.6893
100403,Kbal Damrei,1063,481,45.2493
20704,Traeng,2666,237,8.8897
60806,Msa Krang,2140,447,20.8879
20102,Kantueu Pir,1462,368,25.171
60502,Koul,1146,562,49.0401
60811,Rung Roeang,1156,469,40.5709
240203,Stueng Kach,2915,11,0.3774
60205,Nipech,812,73,8.9901
60805,Kampong Chen Tboung,2024,422,20.8498
20607,Kakaoh,2790,490,17.5627
150104,Me Tuek,3135,740,23.6045
20101,Kantueu Muoy,1181,327,27.6884
100402,Kampong Cham,2016,658,32.6389
60812,Samprouch,2696,1305,48.405
110401,Krang Teh,452,66,14.6018
60803,Chamna Leu,2156,901,41.7904
110402,Pu Chrey,939,77,8.2002
20105,Chaeng Mean Chey,1795,208,11.5877
21301,Thipakdei,2010,239,11.8905
60802,Chamna Kraom,2534,1389,54.8145
240103,Tuol Lvea,1418,23,1.622
240101,Pailin,2920,7,0.2397
240104,Bar Yakha,729,2,0.2743
60807,Peam Bang,612,0,0
60504,Sraeung,1219,537,44.0525
60208,Tbaeng,2725,788,28.9174
20702,Andaeuk Haeb,1098,472,42.9872
240102,Ou Ta Vau,2264,0,0
60209,Trapeang Ruessei,3886,1417,36.4642
60207,San Kor,3373,670,19.8636
60201,Chey,997,540,54.1625
150101,Boeng Bat Kandaol,2389,638,26.7057
60505,Tang Krasau,2295,776,33.8126
150107,Snam Preah,3752,1457,38.8326
20604,Ruessei Krang,3212,209,6.5068
21303,Hab,708,179,25.2825
20703,Phlov Meas,1355,18,1.3284
20602,Kear,3469,724,20.8706
21305,Doun Ba,923,138,14.9512
20601,Moung,3201,182,5.6857
21302,Kaos Krala,799,107,13.3917
60701,Boeng Lvea,1408,446,31.6761
60204,Kampong Svay,2891,1290,44.6212
60705,Kraya,2949,621,21.058
100407,Sambour,1883,161,8.5502
100408,Sandan,1750,146,8.3429
