Com_Code,Commune,Family,PigFarm,PigRaised,ChickFarm,ChickRaise,DuckFarm,DuckRaised,CowFarm,CowRaised,BuffFarm,BuffRaised,Rpig,Rpoultry,Rcow,Rbuff
31005,Dar,4215,214,513,1333,6559,49,1103,465,1881,139,456,2.3972,5.5441,4.0452,3.2806
141207,Preaek Changkran,1699,71,336,988,4897,16,497,323,1235,1,3,4.7324,5.3725,3.8235,3
30804,Moha Leaph,1704,123,451,1097,5680,43,823,500,1164,4,9,3.6667,5.7044,2.328,2.25
31206,Kraek,8054,354,1284,3187,18718,347,3501,1276,3379,222,597,3.6271,6.2872,2.6481,2.6892
40706,Svay,2341,173,406,1441,9802,88,644,1421,3054,1,2,2.3468,6.8319,2.1492,2
40704,Peam,1795,491,841,1299,4927,30,376,1681,6826,0,0,1.7128,3.9902,4.0607,0
141204,Pnov Ti Muoy,1515,385,569,1162,11372,19,9750,920,2049,69,180,1.4779,17.8848,2.2272,2.6087
80708,Roka Kong Ti Pir,1388,271,377,671,1469,26,88,555,987,13,127,1.3911,2.2339,1.7784,9.7692
31003,Choam Kravien,2487,54,165,970,6267,21,255,36,144,4,14,3.0556,6.5812,4,3.5
40701,Chhean Laeung,951,266,407,667,2799,116,218,651,4236,0,0,1.5301,3.8531,6.5069,0
31108,Tuol Souphi,1903,109,535,1232,5246,112,448,564,1304,78,208,4.9083,4.2366,2.3121,2.6667
31409,Preaek Pou,3389,556,1665,2274,10265,34,7212,851,1634,7,14,2.9946,7.5724,1.9201,2
80317,Ta Aek,646,6,37,429,1658,1,105,184,474,0,0,6.1667,4.1,2.5761,0
31405,Mean Chey,2146,233,714,1244,5642,0,0,893,1585,1,4,3.0644,4.5354,1.7749,4
141210,Rumlech,1703,207,967,1416,6437,42,1048,1043,3218,303,1815,4.6715,5.1337,3.0853,5.9901
31105,Mien,2546,325,682,1961,8569,157,1467,879,3068,512,983,2.0985,4.7384,3.4903,1.9199
141203,Lve,1503,43,284,1097,6562,25,500,520,999,400,1016,6.6047,6.2941,1.9212,2.54
31101,Ampil Ta Pok,3564,235,621,2092,6538,93,652,987,1878,336,680,2.6426,3.2906,1.9027,2.0238
80704,Preaek Dambang,2807,203,411,2037,5864,17,340,1121,1543,1,2,2.0246,3.0204,1.3764,2
80914,Vihear Luong,1687,37,245,870,4026,19,2295,484,1118,2,6,6.6216,7.1102,2.3099,3
80304,Kaoh Chouram,1123,47,199,810,2102,97,280,476,761,0,0,4.234,2.6262,1.5987,0
31103,Damril,2421,515,1203,1583,6280,216,817,1308,2685,241,439,2.3359,3.945,2.0528,1.8216
31407,Pram Yam,1438,168,333,786,5173,12,47800,909,1503,752,1348,1.9821,66.3822,1.6535,1.7926
80904,Kampong Os,1660,36,184,1025,3390,115,2131,232,627,3,5,5.1111,4.843,2.7026,1.6667
31102,Chak,2920,305,1184,2303,11865,310,1826,1634,3953,458,1041,3.882,5.2396,2.4192,2.2729
141202,Chrey Khmum,1373,243,478,753,2581,22,6261,514,2055,656,1910,1.9671,11.409,3.9981,2.9116
50511,Veang Chas,1487,38,131,656,2096,62,408,198,770,0,0,3.4474,3.4875,3.8889,0
80710,Sambuor Meas,2505,750,1304,1328,10829,98,741,762,1372,52,177,1.7387,8.1136,1.8005,3.4038
31104,Kong Chey,3706,249,958,1614,6632,86,1442,801,1638,53,136,3.8474,4.7494,2.0449,2.566
80911,Phsar Daek,1801,54,141,890,3616,30,575,561,1407,0,0,2.6111,4.5554,2.508,0
31205,Kaong Kang,3386,141,408,1852,7899,100,491,483,1027,266,791,2.8936,4.2982,2.1263,2.9737
80316,Svay Romiet,1223,97,489,928,2527,86,404,257,627,0,0,5.0412,2.8905,2.4397,0
50507,Preah Srae,1804,117,267,1399,9349,62,832,1138,4488,0,0,2.2821,6.9685,3.9438,0
141205,Pnov Ti Pir,861,183,361,786,2179,25,14292,397,843,227,417,1.9727,20.3095,2.1234,1.837
50510,Veal Pong,2683,309,1830,2114,14685,95,917,1664,5818,0,0,5.9223,7.0629,3.4964,0
31202,Dountei,3098,318,765,2360,19688,95,566,752,1506,735,1589,2.4057,8.2501,2.0027,2.1619
31412,Svay Pou,1627,67,294,1140,5107,12,5867,542,993,373,521,4.3881,9.526,1.8321,1.3968
31015,Triek,1273,367,612,926,5670,39,240,290,893,148,581,1.6676,6.1244,3.0793,3.9257
31403,Khnar Sa,904,23,204,763,3836,16,8300,265,841,437,878,8.8696,15.5789,3.1736,2.0092
