NCDD_CodeP,NCDD_CodeD,NCDD_CodeC,Commune,SLR
6,603,60306,Kampong Krabau,1
6,603,60308,Prey Ta Hu,1
6,603,60309,Achar Leak,1
6,603,60310,Srayov,1
6,604,60401,Doung,0
6,604,60402,Kraya,0
6,604,60403,Phan Nheum,0
6,604,60404,Sakream,0
6,604,60405,Sala Visai,0
6,604,60406,Sameakki,0
6,604,60407,Tuol Kreul,0
6,605,60501,Chhuk,0
6,605,60502,Koul,0
6,605,60503,Sambour,0
6,605,60504,Sraeung,0
6,605,60505,Tang Krasau,0
6,606,60601,Chheu Teal,0
6,606,60602,Dang Kambet,0
6,606,60603,Klaeng,0
6,606,60604,Mean Rith,0
6,606,60605,Mean Chey,0
6,606,60606,Ngan,0
6,606,60607,Sandan,0
6,606,60608,Sochet,0
6,606,60609,Tum Ring,0
6,607,60701,Boeng Lvea,1
6,607,60702,Chroab,1
6,607,60703,Kampong Thma,1
6,607,60704,Kakaoh,0
6,607,60705,Kraya,0
6,607,60706,Pnov,0
6,607,60707,Prasat,1
6,607,60708,Tang Krasang,1
6,607,60709,Ti Pou,1
6,607,60710,Tboung Krapeu,0
6,608,60801,Banteay Stoung,0
6,608,60802,Chamna Kraom,1
6,608,60803,Chamna Leu,1
6,608,60804,Kampong Chen Cheung,1
6,608,60805,Kampong Chen Tboung,1
6,608,60806,Msa Krang,0
6,608,60807,Peam Bang,0
6,608,60808,Popok,0
6,608,60809,Pralay,0
6,608,60810,Preah Damrei,0
6,608,60811,Rung Roeang,0
6,608,60812,Samprouch,1
6,608,60813,Trea,0
7,701,70101,Angk Phnum Touch,1
7,701,70102,Ankor Chey,1
7,701,70103,Champei,1
7,701,70104,Dambouk Khpos,1
7,701,70105,Dan Koum,1
7,701,70106,Daeum Doung,1
7,701,70107,Mroum,1
7,701,70108,Phnum Kong,1
7,701,70109,Praphnum,1
7,701,70110,Samlanh,1
7,701,70111,Tani,1
7,702,70201,Banteay Meas Khang Kaeut,0
7,702,70202,Banteay Meas Khang lech,0
7,702,70203,Prey Tonle,0
7,702,70204,Samraong Kraom,1
7,702,70205,Samraong Leu,1
7,702,70206,Sdach Kong Khang Cheung,1
7,702,70207,Sdach Kong Khang lech,1
7,702,70208,Sdach Kong Khang Tboung,1
7,702,70209,Tnoat Chong Srang,0
7,702,70210,Trapeang Sala Khang Kaeut,1
7,702,70211,Trapeang Sala Khang Lech,1
7,702,70212,Tuk Meas Khang Kaeut,0
7,702,70213,Tuk Meas Khang Lech,0
7,702,70214,Voat Angk Khang Cheung,1
7,702,70215,Voat Angk Khang Tboung,1
7,703,70301,Baniev,1
7,703,70302,Takaen,0
7,703,70303,Boeng Nimol,0
7,703,70304,Chhuk,0
7,703,70305,Doun Yay,1
7,703,70306,Krang Sbov,1
7,703,70307,Krang Snay,1
7,703,70308,Lbaeuk,0
7,703,70309,Trapeang Phleang,0
7,703,70310,Mean Chey,1
7,703,70311,Neareay,0
