Province,District,Commune,Vil_Code,Village,L1_HH,L2_HH,L1_Per_HH,L2_Per_HH,TOT_PerHH,TOP_HH,Rounds,Scale
Kampong Speu,Basedth,Pou Mreal,5010907,Mreal Tnaot Khang Tboung,11,25,0.093,0.212,0.305,36,2011,1
Kampong Speu,Basedth,Pou Mreal,5010908,Ou Char,16,13,0.103,0.083,0.186,29,2011,1
Kampong Speu,Basedth,Pou Mreal,5010909,Pou,17,20,0.099,0.117,0.216,37,2011,2
Kampong Speu,Basedth,Pou Mreal,5010910,Salam,27,26,0.153,0.148,0.301,53,2011,2
Kampong Speu,Basedth,Pou Mreal,5010911,Trapeang Khnar,23,16,0.209,0.145,0.355,39,2011,1
Kampong Speu,Basedth,Pou Mreal,5010912,Thmei,11,10,0.234,0.213,0.447,21,2011,1
Kampong Speu,Basedth,Pou Mreal,5010913,Chamraeun Phal,25,12,0.333,0.16,0.493,37,2011,1
Kampong Speu,Basedth,Pou Mreal,5010914,Ta Daeng Thmei,10,8,0.06,0.048,0.107,18,2011,1
Kampong Speu,Basedth,Pou Mreal,5010915,Ta Nuon,11,10,0.052,0.047,0.1,21,2011,1
Kampong Speu,Basedth,Pou Mreal,5010916,Ta Daeng Chas,20,17,0.12,0.102,0.223,37,2011,1
Kampong Speu,Basedth,Pou Mreal,5010917,Prey Tbaeng,23,12,0.169,0.088,0.257,35,2011,1
Kampong Speu,Basedth,Pou Mreal,5010918,Prey Khle,23,20,0.213,0.185,0.398,43,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011001,Sdok,11,9,0.1,0.082,0.182,20,2011,2
Kampong Speu,Basedth,Svay Chacheb,5011002,Popul,20,7,0.241,0.084,0.325,27,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011003,Chacheb,22,16,0.262,0.19,0.452,38,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011004,Chek,23,14,0.172,0.104,0.276,37,2011,2
Kampong Speu,Basedth,Svay Chacheb,5011005,Anlong Leak,33,13,0.216,0.085,0.301,46,2011,1
Kampong Speu,Basedth,Svay Chacheb,5011006,Ruessei Yul,9,8,0.083,0.073,0.156,17,2011,1
