Dis_Code,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm
1707,Puok,112882.00000000000,111.50000000000,11292,-6004.00000000000,-53.19000000000,5288,1012
1709,Prasat Bakong,61425.00000000000,179.60000000000,4430,-1426.00000000000,-23.22000000000,3004,342
1710,Krong Siem Reab,230714.00000000000,489.80000000000,25520,45410.00000000000,196.82000000000,70930,471
1711,Soutr Nikom,98378.00000000000,126.10000000000,16743,-10000.00000000000,-108.99000000000,6021,780
1712,Srei Snam,31359.00000000000,56.20000000000,4638,-1609.00000000000,-51.31000000000,3029,558
1713,Svay Leu,25726.00000000000,13.40000000000,2455,5614.00000000000,218.22000000000,8069,1918
1714,Varin,32026.00000000000,29.20000000000,2474,4231.00000000000,132.11000000000,6705,1098
1801,Krong Preah Sihanouk,91284.00000000000,483.00000000000,9420,23823.00000000000,260.98000000000,33243,189
1802,Prey Nob,93141.00000000000,78.90000000000,10586,4.00000000000,0.04000000000,10590,1181
1803,Stueng Hav,20277.00000000000,88.50000000000,1640,5568.00000000000,274.60000000000,7208,229
1804,Kampong Seila,16694.00000000000,16.90000000000,0,5137.00000000000,307.72000000000,5137,986
1901,Sesan,17506.00000000000,6.50000000000,1439,812.00000000000,46.38000000000,2251,2702
1902,Siem Bouk,14444.00000000000,9.90000000000,1497,660.00000000000,45.69000000000,2157,1459
1903,Siem Pang,18323.00000000000,4.00000000000,1424,105.00000000000,5.73000000000,1529,4559
1904,Krong Stueng Traeng,30959.00000000000,44.90000000000,4175,3486.00000000000,112.60000000000,7661,690
1905,Thala Barivat,30439.00000000000,11.70000000000,2136,-10.00000000000,-0.33000000000,2126,2607
2001,Chantrea + Kron Bavet,62027.00000000000,129.20000000000,4936,-61.00000000000,-0.98000000000,4875,480
2002,Kampong Rou,57732.00000000000,146.50000000000,7910,-5714.00000000000,-98.97000000000,2196,394
2003,Rumduol,46944.00000000000,170.70000000000,7587,-5630.00000000000,-119.93000000000,1957,275
2004,Romeas Haek,109068.00000000000,142.90000000000,12931,-8008.00000000000,-73.42000000000,4923,763
2005,Svay Chrum,120318.00000000000,230.90000000000,14801,-10000.00000000000,-93.23000000000,3584,521
2006,Krong Svay Rieng,40536.00000000000,393.60000000000,12459,-6806.00000000000,-167.90000000000,5653,103
2007,Svay Teab,46163.00000000000,138.60000000000,7158,-4813.00000000000,-104.26000000000,2345,333
2101,Angkor Borei,46261.00000000000,153.70000000000,5728,-3385.00000000000,-73.17000000000,2343,301
2102,Bati,131031.00000000000,349.40000000000,17501,-10000.00000000000,-81.19000000000,6863,375
2103,Borei Cholsar,26055.00000000000,106.80000000000,2402,-296.00000000000,-11.36000000000,2106,244
2104,Kiri Vong,97711.00000000000,164.80000000000,16986,-10000.00000000000,-136.40000000000,3658,593
2105,Kaoh Andaet,48039.00000000000,137.30000000000,7477,-5752.00000000000,-119.74000000000,1725,350
2106,Prey Kabbas,95416.00000000000,356.00000000000,14372,-9674.00000000000,-101.39000000000,4698,268
2107,Samraong,107807.00000000000,366.70000000000,14088,-8833.00000000000,-81.93000000000,5255,294
2108,Krong Doun Kaev,41383.00000000000,431.10000000000,9525,-3571.00000000000,-86.29000000000,5954,96
2109,Tram Kak,152170.00000000000,271.70000000000,25987,-20000.00000000000,-120.46000000000,7656,560
2110,Treang,99033.00000000000,241.50000000000,17326,-10000.00000000000,-144.88000000000,2978,410
2201,Anlong Veaeng,39045.00000000000,25.50000000000,6356,15891.00000000000,406.99000000000,22247,1533
2202,Banteay Ampil,41005.00000000000,33.60000000000,4579,3138.00000000000,76.53000000000,7717,1221
2203,Chong Kal,21749.00000000000,22.40000000000,3539,-45.00000000000,-2.07000000000,3494,973
2204,Krong Samraong,51414.00000000000,36.20000000000,6952,14577.00000000000,283.52000000000,21529,1419
2205,Trapeang Prasat,32606.00000000000,21.90000000000,2834,20217.00000000000,620.04000000000,23051,1486
2301,Damnak Chang'aeur,23048.00000000000,261.90000000000,848,1656.00000000000,71.85000000000,2504,88
2302,Krong Kaeb,12705.00000000000,195.50000000000,1005,889.00000000000,69.97000000000,1894,65
2401,Krong Pailin,36354.00000000000,63.20000000000,4160,16372.00000000000,450.35000000000,20532,575
2402,Sala Krau,34132.00000000000,67.90000000000,2855,19979.00000000000,585.35000000000,22834,503
