Province,District,Com_Code,Commune,TT_Family,TT_M,TT_F,TT_Both,Both_UP_18,M_18_24,F_18_24,M_25_35,F_25_35,M_36_45,F_36_45,M_46_60,F_46_60,M_UP_61,F_UP_61,M_IM_UP_18,F_IM_UP_18,Both_IM_18,IM_UP_18_P,IM_POP_P
Siem Reap,Svay Leu,171302,Kantuot,1576,6710,3548,10258,5685,928,477,1114,554,711,398,826,421,161,95,36,31,67,1.18000000000,0.65000000000
Banteay Meanchey,Thma Puok,010705,Kouk Kakthen,1727,3903,4135,8038,5158,677,580,577,573,511,546,439,746,243,266,393,218,611,11.85000000000,7.60000000000
Banteay Meanchey,Phnum Srok,010303,Ponley,2829,6369,6963,13332,8292,945,957,1084,1175,1056,1249,616,779,218,213,398,187,585,7.05000000000,4.39000000000
Preah Vihear,Kuleaen,130403,Thmei,699,1734,1584,3318,1771,256,198,227,268,205,171,139,162,77,68,17,13,30,1.69000000000,0.90000000000
Banteay Meanchey,Thma Puok,010703,Phum Thmei,1621,3472,3611,7083,4890,612,550,755,752,457,517,416,488,128,215,96,56,152,3.11000000000,2.15000000000
Banteay Meanchey,Svay Chek,010804,Svay Chek,2336,4901,4757,9658,5985,786,659,891,777,560,589,590,640,218,275,478,397,875,14.62000000000,9.06000000000
Banteay Meanchey,Svay Chek,010807,Treas,2804,5129,5425,10554,6495,744,762,827,884,718,722,611,609,251,367,168,59,227,3.49000000000,2.15000000000
Ratanak Kiri,Ou Chum,160607,L'ak,676,1329,1307,2636,1409,149,174,216,210,110,166,133,100,77,74,0,0,0,0.00000000000,0.00000000000
Stung Treng,Thala Barivat,190508,Preah Rumkel,1120,2650,2616,5266,2742,297,301,355,315,305,309,251,306,132,171,143,119,262,9.56000000000,4.98000000000
Preah Vihear,Tbaeng Mean Chey,130704,Pou,614,868,831,1699,847,116,109,103,124,101,99,87,58,28,22,0,2,2,0.24000000000,0.12000000000
Preah Vihear,Tbaeng Mean Chey,130703,Chhean Mukh,489,1176,1198,2374,1112,111,134,186,152,104,104,84,106,61,70,0,0,0,0.00000000000,0.00000000000
Preah Vihear,Tbaeng Mean Chey,130705,Prame,566,1152,1256,2408,1441,184,198,181,194,142,188,120,137,51,46,0,4,4,0.28000000000,0.17000000000
Stung Treng,Thala Barivat,190507,Ou Svay,654,1587,1807,3394,1883,216,257,269,307,166,143,154,169,60,142,4,44,48,2.55000000000,1.41000000000
Stung Treng,Stueng Traeng,190404,Sameakki,1050,2624,2678,5302,3186,442,433,381,410,311,313,306,322,128,140,17,45,62,1.95000000000,1.17000000000
Ratanak Kiri,Andoung Meas,160101,Malik,644,1930,1912,3842,1703,250,215,235,221,170,222,139,160,46,45,0,0,0,0.00000000000,0.00000000000
Ratanak Kiri,Ou Chum,160604,Kalai,359,759,753,1512,778,98,100,115,104,58,73,69,70,41,50,0,0,0,0.00000000000,0.00000000000
Siem Reap,Srei Snam,171201,Chrouy Neang Nguon,1321,3412,3553,6965,4136,589,523,492,575,422,459,301,395,170,210,176,90,266,6.43000000000,3.82000000000
Ratanak Kiri,Ou Chum,160605,Ou Chum,1021,2147,2259,4406,2263,228,308,331,297,237,230,209,188,128,107,0,1,1,0.04000000000,0.02000000000
Siem Reap,Srei Snam,171202,Klang Hay,678,1530,1547,3077,2021,291,261,280,261,177,219,185,208,52,87,37,21,58,2.87000000000,1.88000000000
Siem Reap,Varin,171401,Prasat,968,2131,2483,4614,2742,327,363,437,413,266,278,227,274,60,97,133,70,203,7.40000000000,4.40000000000
Ratanak Kiri,Ou Chum,160606,Sameakki,704,1653,1498,3151,1419,160,202,207,206,148,153,113,129,69,32,0,0,0,0.00000000000,0.00000000000
Stung Treng,Sesan,190107,Ta Lat,800,1594,1670,3264,1736,152,145,208,260,191,203,144,192,136,105,0,3,3,0.17000000000,0.09000000000
