Dis_Code,District,Dis_Num,NB_EMIGRAN,LSize_Ha,LSize_Skm,TOPOP,Em_perSkm,Em_perPOP
1706,Kralanh,1706,299,56807.69539540000,568.07695395400,57690,0.52633714133,5.18287398163
1707,Puok,1707,103,101171.11364600000,1011.71113646000,112882,0.10180771595,0.91245725625
1709,Prasat Bakong,1709,2,34174.72874150000,341.74728741500,61425,0.00585227761,0.03256003256
1710,Krong Siem Reab,1710,192,47064.55115550000,470.64551155500,230714,0.40795034752,0.83219917300
1711,Soutr Nikom,1711,106,77961.87824239999,779.61878242400,98378,0.13596388695,1.07747667161
1712,Srei Snam,1712,33,55757.60152580000,557.57601525800,31359,0.05918475526,1.05232947479
1713,Svay Leu,1713,1,191772.02315600001,1917.72023156000,25726,0.00052145250,0.03887118091
1714,Varin,1714,4,109834.79373000000,1098.34793730000,32026,0.00364183322,0.12489851995
1801,Krong Preah Sihanouk,1801,140,18939.98630850000,189.39986308500,91284,0.73917688070,1.53367512379
1802,Prey Nob,1802,124,118102.37411200000,1181.02374112000,93141,0.10499365566,1.33131488818
1803,Stueng Hav,1803,19,22879.10868800000,228.79108688000,20277,0.08304519315,0.93702224195
1804,Kampong Seila,1804,0,98596.74925750001,985.96749257500,16694,0.00000000000,0.00000000000
1901,Sesan,1901,4,270167.04380300001,2701.67043803000,17506,0.00148056548,0.22849308808
1902,Siem Bouk,1902,7,145912.56242999999,1459.12562430000,14444,0.00479739365,0.48463029632
1903,Siem Pang,1903,0,455930.14494199998,4559.30144942000,18323,0.00000000000,0.00000000000
1904,Krong Stueng Traeng,1904,11,68978.05494859999,689.78054948600,30959,0.01594710087,0.35530863400
1905,Thala Barivat,1905,6,260699.26764599999,2606.99267646000,30439,0.00230150244,0.19711554256
2001,Chantrea + Krong Bavet,2001,13,27695.88216680000,276.95882166800,62027,0.04693838572,0.20958614797
2002,Kampong Rou,2002,63,39369.81854690000,393.69818546900,57732,0.16002105757,1.09124922054
2003,Rumduol,2003,14,27502.17674280000,275.02176742800,46944,0.05090506156,0.29822767553
2004,Romeas Haek,2004,35,76286.21730510000,762.86217305100,109068,0.04587984729,0.32090072249
2005,Svay Chrum,2005,42,52075.68905980000,520.75689059800,120318,0.08065183727,0.34907495138
2006,Krong Svay Rieng,2006,64,10329.52912760000,103.29529127600,40536,0.61958293751,1.57884349714
2007,Svay Teab,2007,20,33297.02073930000,332.97020739300,46163,0.06006543395,0.43324740593
2101,Angkor Borei,2101,95,30073.28042950000,300.73280429500,46261,0.31589503587,2.05356563844
2102,Bati,2102,234,37483.06192450000,374.83061924500,131031,0.62428197694,1.78583693935
2103,Borei Cholsar,2103,105,24440.33409380000,244.40334093800,26055,0.42961769507,4.02993667242
2104,Kiri Vong,2104,288,59269.67206280000,592.69672062800,97711,0.48591461700,2.94746753180
2105,Kaoh Andaet,2105,172,35018.27160210000,350.18271602100,48039,0.49117215708,3.58042423864
2106,Prey Kabbas,2106,249,26758.84932790000,267.58849327900,95416,0.93053328620,2.60962522009
2107,Samraong,2107,246,29376.60174520000,293.76601745200,107807,0.83740114712,2.28185553814
2108,Krong Doun Kaev,2108,81,9588.26795308000,95.88267953080,41383,0.84478239862,1.95732547181
2109,Tram Kak,2109,778,55989.81185140000,559.89811851400,152170,1.38953851473,5.11270289807
2110,Treang,2110,443,41026.45223970000,410.26452239700,99033,1.07979114892,4.47325638928
2201,Anlong Veaeng,2201,76,153282.22233300001,1532.82222333000,39045,0.04958174460,1.94647201946
2202,Banteay Ampil,2202,2,122058.53407500000,1220.58534075000,41005,0.00163855810,0.04877453969
2203,Chong Kal,2203,2,97289.24426450000,972.89244264500,21749,0.00205572570,0.09195825095
2204,Krong Samraong,2204,56,141920.54397500001,1419.20543975000,51414,0.03945869881,1.08919749485
2205,Trapeang Prasat,2205,7,148595.24356000000,1485.95243560000,32606,0.00471078336,0.21468441391
2301,Damnak Chang'aeur,2301,12,8760.02738469000,87.60027384690,23048,0.13698587314,0.52065255120
2302,Krong Kaeb,2302,0,6487.75974598000,64.87759745980,12705,0.00000000000,0.00000000000
2401,Krong Pailin,2401,1425,57454.14963560000,574.54149635600,36354,2.48023860598,39.19788744020
2402,Sala Krau,2402,1807,50273.42186510000,502.73421865100,34132,3.59434455217,52.94152115320
