NCDD_CodeD,District,TOTPOP,DENSITY,NB_OUTMIGR,MIGRATION,NMR_PER100,Nb_InMIG_1,LSize_Skm,NB_EMIGRAN_PP,Emigr_Skm_PP,EmigPerPOP_PP,NB_EMIGRAN_PAI,Em_perSkm_PAI,Em_perPOP_PAI
1102,Kaoh Nheaek,15209,2.9,1187,1451,95.4,2638,5282.224532,16,0.003029027,1.052008679,0,0,0
1103,Ou Reang,3948,3.5,238,124,31.41,362,1133.186668,4,0.003529869,1.013171226,0,0,0
1104,Pech Chreada,10392,2.9,585,2510,241.53,3095,3573.954457,17,0.004756636,1.635873749,4,0.001119208,0.38491147
1105,Krong Saen Monourom,12340,22.8,1574,2978,241.33,4552,541.0942469,138,0.255038749,11.18314425,1,0.001848107,0.081037277
1201,Chamkar Mon,182004,16545.8,75501,12073,66.33,87574,11.1533684,64641,5795.648245,355.1625239,234,20.98020899,1.285686029
1202,Doun Penh,126550,15818.8,54308,-681,-5.38,53627,7.682444314,42162,5488.097053,333.164757,196,25.5127134,1.548794943
1203,Prampir Meakkakra,91895,45947.5,35140,1080,11.75,36220,2.199477231,30419,13830.10452,331.0190979,124,56.37703279,1.349366124
1204,Tuol Kouk,171200,21400,55282,37202,217.3,92484,7.967049094,48906,6138.533781,285.6658879,108,13.55583463,0.630841122
1205,Dangkao,193227,1011.7,22944,62528,323.6,85472,191.3537095,17170,89.72912021,88.8592174,75,0.391944322,0.388144514
1206,Mean Chey,266865,5801.4,32697,-30000,-122.52,0,46.17080561,24650,533.8871539,92.3688007,112,2.425775303,0.419687857
1207,Ruessei Kaev + Saensokh,295874,2714.4,42219,100000,339.36,142627,109.1776375,33602,307.77365,113.5686137,242,3.899892877,0.817915734
1301,Chey Saen,20730,18.9,884,143,6.9,1027,1099.42145,59,0.053664589,2.846116739,14,0.01273397,0.675349735
1302,Chhaeb,16731,6.6,850,67,4,917,2538.862381,37,0.014573456,2.21146375,12,0.004726526,0.717231486
1303,Choam Khsant,25245,6.7,3282,1753,69.44,5035,3769.721709,61,0.016181566,2.416320063,1,0.000265272,0.039611804
1304,Kuleaen,24824,11.3,1612,2223,89.55,3835,2188.073783,73,0.033362678,2.940702546,21,0.009597483,0.845955527
1305,Rovieng,35633,16.3,2918,532,14.93,3450,2183.297862,146,0.066871315,4.097325513,35,0.016030795,0.982235568
1306,Sangkum Thmei,17279,13.1,1112,-462,-26.74,650,1323.678082,24,0.018131297,1.388969269,32,0.024175062,1.851959025
1307,Tbaeng Mean Chey + Krong PV,30697,33,3182,7031,229.05,10213,928.7621036,313,0.337007721,10.19643613,6,0.009321204,0.19545884
1401,Ba Phnum,72576,212.2,13391,-10000,-150.82,2445,342.3173139,5851,17.09232856,80.61893739,164,0.479087657,2.259700176
1402,Kamchay Mear,74407,160.4,8167,-5425,-72.91,2742,463.954392,1973,4.252573171,26.51632239,109,0.234936886,1.464915935
1403,Kampong Trabaek,109291,216.4,15994,-10000,-114.81,3446,504.6143794,6487,12.85536098,59.35529916,170,0.336890915,1.555480323
1404,Kanhchriech,54791,173.4,9599,-7301,-133.25,2298,316.165067,2454,7.761768318,44.78837765,75,0.237217858,1.368837948
1405,Me Sang,89885,220.3,11968,-10000,-111.25,1968,407.6769189,5120,12.55896462,56.96167325,63,0.154534135,0.700895589
1406,Peam Chor,67531,154.5,6685,-2490,-36.87,4195,437.0664553,1467,3.356468982,21.72335668,132,0.302013569,1.954657861
1407,Peam Ro,60791,316.6,8400,-3076,-50.6,5324,192.4381301,3516,18.27080734,57.83750884,53,0.275413194,0.871839582
1408,Pea Reang,107086,189.2,14918,-10000,-118.38,2241,566.4490597,7484,13.21213244,69.88775377,84,0.14829224,0.784416264
1409,Preah Sdach,110571,228.5,16014,-10000,-112.74,3548,483.5218502,5284,10.92815143,47.78829892,205,0.423972567,1.854012354
1411,Kampong Leav,29259,151.6,6544,-5421,-185.28,1123,541.1220057,8952,16.54340409,78.04844025,166,2.42022425,1.447278941
1412,Sithor Kandal,56486,180.5,8985,-7542,-133.52,1443,193.2939873,2721,14.0770028,92.99702656,20,0.103469333,0.683550361
1410,Svay Antor + Krong Prey Veng,114698,212,23138,-20000,-144.01,6620,312.8168132,3799,12.14448789,67.25560316,110,0.351643503,1.947385193
1501,Bakan,124829,81,34457,-20000,-186.05,11233,1541.729177,2708,1.756469321,21.69367695,1674,1.085793812,13.41034535
1502,Kandieng,58066,99.8,5720,-3126,-53.84,2594,582.0204073,850,1.460429891,14.63851479,167,0.28693152,2.876037612
