longitude,latitude,vil_code,village,school_name,school_dist
103.3097199,13.68126172,1030505,Kouk Rumchek,Phnom Srok,7814.381755
103.3334724,13.72119309,1030506,Kouk Ta Reach,Phnom Srok,2725.601653
103.3393359,13.73931005,1030507,Kandal Khang Lech,Phnom Srok,641.3360789
103.343515,13.73933814,1030508,Kandal Khang Kaeut,Phnom Srok,543.5978625
103.3434642,13.74656879,1030509,Srah Chhuk Khang Kaeut,Phnom Srok,282.7645487
103.3625358,13.7378291,1030601,Phnum Dei,Phnom Srok,2269.66822
103.3791878,13.79561607,1030602,Ponley,Khemara Nam Tao,5587.422857
103.3591699,13.74848156,1030603,Kouk Seh,Phnom Srok,1857.102171
103.3528601,13.75032859,1030604,Thnal Dach,Phnom Srok,1304.632338
103.3556542,13.72224563,1030605,Bos Sbov,Phnom Srok,2807.455296
103.3693971,13.74041445,1030606,Trapeang Prei,Phnom Srok,2930.287957
103.3700463,13.78018962,1030607,Kamping Puoy,Phnom Srok,4970.956138
103.3704141,13.73374146,1030608,Spean Khmeng,Phnom Srok,3224.092452
103.3494629,13.74619902,1030609,Trang,Phnom Srok,778.0845202
103.4024831,13.77393186,1030610,Khcheay,Phnom Srok,7267.569428
103.1057646,13.64092346,1040101,Samraong Touch,Chhnour Meanchey,1422.287894
103.118469,13.63539851,1040102,Pongro,Chhnour Meanchey,2379.568191
103.1076344,13.63822638,1040103,Thma Koul,Chhnour Meanchey,1385.538777
103.0945888,13.65168321,1040104,Proput,Chhnour Meanchey,2248.812397
103.1010431,13.65354024,1040105,Bantoat Baoh,Chhnour Meanchey,2482.812848
103.1086088,13.63190735,1040106,Kouk Treas,Chhnour Meanchey,1273.595192
103.1076632,13.63461149,1040107,Chhnuor,Chhnour Meanchey,1220.592002
103.0853404,13.65251579,1040108,Samraong Thum,Chhnour Meanchey,2639.788356
103.1020467,13.6436064,1040109,Ruessei Khang,Chhnour Meanchey,1454.94528
103.1039381,13.63819819,1040110,Ruessei Kandal,Chhnour Meanchey,1068.309054
103.1133079,13.62200148,1040111,Rompeak,Chhnour Meanchey,2067.097373
103.1121859,13.63064215,1040112,Kouk Trach,Chhnour Meanchey,1662.404782
103.1816717,13.62431845,1040201,Chob,Chup Vary,494.7103195
103.1881125,13.62798073,1040202,Roul Chruk,Chup Vary,1227.699242
103.1926984,13.63253321,1040203,Prasat,Chup Vary,1872.853067
103.1981813,13.6407074,1040204,Krasang Thmei,Chup Vary,2857.608658
103.2017888,13.65248321,1040205,Pradak,Chup Vary,4037.331057
103.1933129,13.6732094,1040206,Chreab Thmei,Chup Vary,5605.738514
103.176607,13.6821251,1040207,Chreab Chas,Chup Vary,6313.269649
103.1388118,13.66919087,1040208,Kak,Chhnour Meanchey,6166.840528
103.146516,13.62948162,1040209,Kouk Lun,Chup Vary,3352.445187
103.1693107,13.62506827,1040210,Phnum Chonhcheang,Chup Vary,849.9581738
103.1800121,13.62260714,1040211,Chakkrei,Chup Vary,411.2495583
103.3604357,13.59096075,1040301,Phnum Lieb Kaeut,Teuk Cho,4539.199328
103.357449,13.59661751,1040302,Phnum Lieb Lech,Teuk Cho,4870.690383
103.3329681,13.58904306,1040303,Troyoung,Teuk Cho,7519.102478
103.33631,13.58020735,1040304,Tro Louk Cheung,Teuk Cho,7286.261689
103.3280451,13.57292104,1040305,Tro Louk Lech,Teuk Cho,8344.679147
103.3391573,13.56937973,1040306,Tro Louk Tboung,Teuk Cho,7325.00218
103.3379247,13.61366174,1040307,Laote,Teuk Cho,7327.83505
103.3139627,13.6044618,1040308,Rumduol,Teuk Cho,9642.938611
